"word_category","seed_id","word_type","word"
"glass",34,"first_gen_imitation","dicdicdic"
"glass",34,"first_gen_imitation","taateh"
"glass",34,"first_gen_imitation","tititic"
"glass",36,"first_gen_imitation","dirrng"
"glass",37,"first_gen_imitation","boonk"
"tear",38,"first_gen_imitation","phfffft"
"tear",38,"first_gen_imitation","scheeept"
"tear",39,"first_gen_imitation","ashey"
"tear",39,"first_gen_imitation","feeshefee"
"tear",39,"first_gen_imitation","pewuufth"
"tear",40,"first_gen_imitation","choo"
"tear",40,"first_gen_imitation","hhhweerrr"
"tear",40,"first_gen_imitation","hshiew"
"tear",41,"first_gen_imitation","chaaaaa"
"tear",41,"first_gen_imitation","pcht"
"tear",41,"first_gen_imitation","pshhht"
"water",43,"first_gen_imitation","fshfshfsh"
"water",44,"first_gen_imitation","ashtoosh"
"water",45,"first_gen_imitation","glonglon"
"zipper",47,"first_gen_imitation","choo"
"zipper",47,"first_gen_imitation","heerouf"
"zipper",47,"first_gen_imitation","zoop"
"zipper",48,"first_gen_imitation","arrgt"
"zipper",48,"first_gen_imitation","briww"
"zipper",48,"first_gen_imitation","broo"
"zipper",49,"first_gen_imitation","beehzuhp"
"zipper",49,"first_gen_imitation","grrir"
"zipper",49,"first_gen_imitation","zerp"
"glass",34,"last_gen_imitation","da da da"
"glass",34,"last_gen_imitation","dundunduh"
"tear",38,"last_gen_imitation","cheecheea"
"tear",39,"last_gen_imitation","cheeoooo"
"tear",40,"last_gen_imitation","schoo"
"tear",41,"last_gen_imitation","cheea"
"tear",41,"last_gen_imitation","sheah"
"tear",41,"last_gen_imitation","sheyah"
"water",42,"last_gen_imitation","eaverlusha"
"water",42,"last_gen_imitation","eeverlusha"
"water",42,"last_gen_imitation","everlutia"
"zipper",47,"last_gen_imitation","bizz"
"zipper",47,"last_gen_imitation","dzzzzz"
"zipper",47,"last_gen_imitation","veeeep"
"zipper",49,"last_gen_imitation","ewep"
"zipper",49,"last_gen_imitation","izit"
"zipper",49,"last_gen_imitation","izzip"
"glass",34,"sound_effect","atinga"
"glass",36,"sound_effect","cleek"
"glass",36,"sound_effect","cliq"
"glass",37,"sound_effect","buink"
"tear",38,"sound_effect","creech"
"tear",38,"sound_effect","crizzz"
"tear",39,"sound_effect","crisshhh"
"tear",41,"sound_effect","crish"
"water",44,"sound_effect","bloosh"
"water",44,"sound_effect","guplunk"
"water",45,"sound_effect","blowosh"
"zipper",47,"sound_effect","brrip"
"zipper",47,"sound_effect","growwff"
"zipper",48,"sound_effect","fwip"
